"行","EPSGコード","経度","緯度","拠点番号","拠点名","町名","目　標","開設状況","開設時間","種類"
"123","EPSG:4612","139.57718797222222","35.57045058333333","宮前 13","有馬（２）","川崎市宮前区有馬7-7-1","市立有馬中学校南側","× 非開設","-","管路上"
"124","EPSG:4612","139.5986871388889","35.588759277777775","宮前 14","宮崎（２）","川崎市宮前区宮崎107","市立宮崎中学校東側","× 非開設","-","管路上"
"125","EPSG:4612","139.56383377777777","35.59005802777778","宮前 18","犬蔵","川崎市宮前区犬蔵1-10-1","市立犬蔵中学校北側","× 非開設","-","管路上"
"126","EPSG:4612","139.5921031111111","35.61259919444444","多摩 1","堰　","川崎市多摩区堰3-8","堰交差点東側","× 非開設","-","管路上"
"127","EPSG:4612","139.57740230555555","35.605729527777775","多摩 2","長尾","川崎市多摩区長尾6-34-7","上下水道局長尾加圧ポンプ所前","× 非開設","-","管路上"
"128","EPSG:4612","139.5599009722222","35.61694286111111","多摩 3","枡形（１）","川崎市多摩区枡形3-4-1","シャリエ向ヶ丘遊園前","× 非開設","-","管路上"
"129","EPSG:4612","139.53360355555554","35.63260419444445","多摩 4","菅　","川崎市多摩区菅2-3-12","市営・小田急バス稲田堤駅入口バス停","× 非開設","-","管路上"
"130","EPSG:4612","139.57844094444445","35.61720011111111","多摩 10","宿河原","川崎市多摩区宿河原4-21","稲田中学校西交差点東側","× 非開設","-","管路上"
"131","EPSG:4612","139.55681219444443","35.627037055555554","多摩 11","登戸","川崎市多摩区登戸599","シャルム登戸前","× 非開設","-","管路上"
"132","EPSG:4612","139.56278041666667","35.61019091666667","多摩 13","枡形（２）","川崎市多摩区枡形6-26","民家園入口前","× 非開設","-","管路上"
"133","EPSG:4612","139.54552744444445","35.61277675","多摩 17","三田（２）","川崎市多摩区三田2-5420-2","市立生田中学校西側","× 非開設","-","管路上"
"134","EPSG:4612","139.5078758888889","35.61698886111111","麻生 1","千代ケ丘","川崎市麻生区千代ケ丘7-3-20","小田急バス千代ヶ丘バス停","× 非開設","-","管路上"
"135","EPSG:4612","139.48218202777778","35.602707583333334","麻生 6","栗平","川崎市麻生区栗平1-1-26","小田急・神奈川中央交通バス吾妻バス停","× 非開設","-","管路上"
"136","EPSG:4612","139.52246205555556","35.57962333333333","麻生 10","虹ヶ丘公園","川崎市麻生区虹ケ丘1-21-1","虹ヶ丘公園内（貯水槽　容量100立方メートル）","× 非開設","-","貯水槽"
"137","EPSG:4612","139.66216644444444","35.54419952777778","幸 26","南加瀬中学校","川崎市幸区南加瀬3-10-1","市立南加瀬中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"138","EPSG:4612","139.61412925","35.604623277777776","高津 32","高津小学校","川崎市高津区溝口4-19-1","市立高津小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"139","EPSG:4612","139.60394961111112","35.58603316666667","高津 19","梶ヶ谷小学校","川崎市高津区梶ケ谷4-12","市立梶ヶ谷小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"140","EPSG:4612","139.6031155","35.589270472222225","高津 9","梶ヶ谷第１公園","川崎市高津区梶ケ谷2-10","梶ヶ谷第1公園内(貯留管　容量100立方メートル)","× 非開設","-","貯留管"
"141","EPSG:4612","139.72196555555556","35.52764766666667","川崎 55","川中島中学校","川崎市川崎区藤崎2-19-1","市立川中島中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"142","EPSG:4612","139.73753544444443","35.52665841666666","川崎 56","四谷小学校","川崎市川崎区四谷下町4-1","市立四谷小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"143","EPSG:4612","139.66982880555557","35.54773425","幸 25","日吉小学校","川崎市幸区北加瀬1-37-1","市立日吉小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"144","EPSG:4612","139.69295358333332","35.53312297222222","幸 27","南河原中学校","川崎市幸区中幸町4-31","市立南河原中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"145","EPSG:4612","139.65489477777777","35.58628077777778","中原 38","西丸子小学校","川崎市中原区小杉陣屋町2-19-1","市立西丸子小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"146","EPSG:4612","139.67239336111112","35.563932888888885","中原 39","玉川小学校","川崎市中原区北谷町32","市立玉川小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"147","EPSG:4612","139.67831627777778","35.55877430555555","中原 40","平間中学校","川崎市中原区上平間1368","市立平間中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"148","EPSG:4612","139.68159647222222","35.557957583333334","中原 41","下河原小学校","川崎市中原区上平間585","市立下河原小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"149","EPSG:4612","139.6614382777778","35.565727027777776","中原 42","住吉中学校","川崎市中原区木月住吉町27-1","市立住吉中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"150","EPSG:4612","139.6529006388889","35.56812413888889","中原 43","住吉小学校","川崎市中原区木月祇園町17-1","市立住吉小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"151","EPSG:4612","139.64600355555555","35.585517833333334","中原 44","宮内中学校","川崎市中原区宮内4-13-1","市立宮内中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"152","EPSG:4612","139.60018644444443","35.61118183333333","高津 29","久地小学校","川崎市高津区久地4-2-1","市立久地小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"153","EPSG:4612","139.59735430555557","35.5976155","高津 30","上作延小学校","川崎市高津区上作延559","市立上作延小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"154","EPSG:4612","139.6276905277778","35.60101097222222","高津 31","東高津小学校","川崎市高津区北見方2-5-1","市立東高津小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"155","EPSG:4612","139.61014380555557","35.57354452777778","宮前 38","野川小学校","川崎市宮前区西野川2-19-1","市立野川小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"156","EPSG:4612","139.56936922222224","35.60336261111111","宮前 39","平中学校","川崎市宮前区平3-15-1","市立平中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"157","EPSG:4612","139.57627316666665","35.57158686111111","宮前 40","西有馬小学校","川崎市宮前区有馬7-6-1","市立西有馬小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"158","EPSG:4612","139.5767335","35.5711725","宮前 41","有馬中学校","川崎市宮前区有馬7-7-1","市立有馬中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"159","EPSG:4612","139.57543291666667","35.582713222222225","宮前 42","土橋小学校","川崎市宮前区土橋3-1-11","市立土橋小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"160","EPSG:4612","139.58176583333332","35.60544408333333","多摩 40","長尾小学校","川崎市多摩区長尾7-28-1","市立長尾小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"161","EPSG:4612","139.57434858333335","35.61686597222222","多摩 41","宿河原小学校","川崎市多摩区宿河原2-1-1","市立宿河原小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"162","EPSG:4612","139.53012538888888","35.622743944444444","多摩 42","南菅中学校","川崎市多摩区菅馬場4-1-1","市立南菅中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"163","EPSG:4612","139.53188130555554","35.62294611111111","多摩 43","南菅小学校","川崎市多摩区菅馬場3-25-1","市立南菅小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"164","EPSG:4612","139.54664825","35.63128472222222","多摩 44","下布田小学校","川崎市多摩区布田23-1","市立下布田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"165","EPSG:4612","139.54352391666666","35.62373888888889","多摩 45","生田ふれあい広場","川崎市多摩区生田1-1-1","生田ふれあい広場内","○ 開設","7：00～22：00","既設給水栓利用型"
"166","EPSG:4612","139.47657847222223","35.61176088888889","麻生 37","栗木台小学校","川崎市麻生区栗木台5-15-1","市立栗木台小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"167","EPSG:4612","139.50412188888887","35.60215825","麻生 38","麻生小学校","川崎市麻生区上麻生3-24-1","市立麻生小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"168","EPSG:4612","139.5035802222222","35.59586238888889","麻生 39","麻生中学校","川崎市麻生区上麻生4-39-1","市立麻生中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"169","EPSG:4612","139.69663008333333","35.509773527777774","川崎 54","京町中学校","川崎市川崎区京町3-19-11","市立京町中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"170","EPSG:4612","139.63156058333334","35.58089894444444","中原 10","下新城","川崎市中原区下新城1-15-3","市立新城小学校西側","× 非開設","-","管路上"
"171","EPSG:4612","139.65850725","35.56605963888889","中原 8","中原平和公園　","川崎市中原区木月住吉町33-1","中原平和公園内（貯留管　容量100立方メートル）","× 非開設","-","貯留管"
"172","EPSG:4612","139.73864155555555","35.535523833333336","川崎 48","大師中学校","川崎市川崎区大師河原2-1-1","市立大師中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"173","EPSG:4612","139.53522091666667","35.596743833333335","宮前 27","潮見台配水池","川崎市宮前区潮見台4-1","上下水道局潮見台配水所北側","× 非開設","-","災害時注水地点併設型"
"174","EPSG:4612","139.46000733333332","35.618063138888886","麻生 15","はるひ野","川崎市麻生区はるひ野4-8-1","市立はるひ野小・中学校西側","× 非開設","-","管路上"
"175","EPSG:4612","139.74550319444444","35.537672944444445","川崎 46","殿町小学校","川崎市川崎区殿町1-17-19","市立殿町小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"176","EPSG:4612","139.68905383333333","35.522858416666665","川崎 47","川崎中学校","川崎市川崎区下並木50","市立川崎中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"177","EPSG:4612","139.68892394444444","35.545934027777776","幸 24","西御幸小学校","川崎市幸区小向西町4-30","市立西御幸小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"178","EPSG:4612","139.60657175","35.57479858333333","宮前 31","西野川小学校","川崎市宮前区野川台3-10-1","市立西野川小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"179","EPSG:4612","139.64042005555555","35.57146044444445","中原 32","下小田中小学校","川崎市中原区下小田中3-35-1","市立下小田中小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"180","EPSG:4612","139.67610233333335","35.55677736111111","中原 33","平間小学校","川崎市中原区上平間1480","市立平間小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"181","EPSG:4612","139.64927344444445","35.57640141666667","中原 34","今井小学校","川崎市中原区今井西町3-18","市立今井小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"182","EPSG:4612","139.6634168611111","35.56259283333333","中原 35","苅宿小学校","川崎市中原区苅宿25-1","市立苅宿小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"183","EPSG:4612","139.6188821111111","35.5958385","高津 25","高津中学校","川崎市高津区久本3-11-2","市立高津中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"184","EPSG:4612","139.60629805555556","35.57348838888889","宮前 32","野川中学校","川崎市宮前区西野川2-2-1","市立野川中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"185","EPSG:4612","139.60390341666667","35.566693666666666","宮前 33","南野川小学校","川崎市宮前区南野川2-12-1","市立南野川小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"186","EPSG:4612","139.58032105555554","35.59562569444444","宮前 34","平小学校","川崎市宮前区平6-5-1","市立平小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"187","EPSG:4612","139.5328387222222","35.63243261111111","多摩 35","菅小学校","川崎市多摩区菅2-6-1","市内菅小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"188","EPSG:4612","139.49270727777778","35.59666380555556","麻生 30","片平小学校","川崎市麻生区片平5-28-1","市立片平小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"189","EPSG:4612","139.51009019444444","35.57913280555555","麻生 31","東柿生小学校","川崎市麻生区王禅寺6-3-1","市立東柿生小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"190","EPSG:4612","139.60318558333333","35.57533727777778","宮前 12","野川第３公園","川崎市宮前区野川台2-8-1","野川第3公園内（貯水槽　容量100立方メートル）","× 非開設","-","貯水槽"
"191","EPSG:4612","139.70237983333334","35.52030005555556","川崎 45","渡田中学校","川崎市川崎区渡田向町11-1","市立渡田中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"192","EPSG:4612","139.49923575","35.61362719444445","麻生 28","金程中学校","川崎市麻生区金程3-16-1","市立金程中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"193","EPSG:4612","139.5034055","35.61703552777778","麻生 29","千代ヶ丘小学校","川崎市麻生区千代ヶ丘8-9-1","市立千代ヶ丘小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"194","EPSG:4612","139.53693752777778","35.626715777777775","多摩 34","東菅小学校","川崎市多摩区菅馬場2-19-1","市立東菅小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"195","EPSG:4612","139.75525472222222","35.52110988888889","川崎 2","千鳥町","川崎市川崎区千鳥町13-1","ＥＮＥＯＳ㈱　川崎製油所前","× 非開設","-","管路上"
"196","EPSG:4612","139.59148191666668","35.56799313888889","宮前 29","有馬小学校","川崎市宮前区東有馬5-12-1","市立有馬小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"197","EPSG:4612","139.58370416666668","35.58946272222222","宮前 30","宮前平中学校","川崎市宮前区宮前平2-7","市立宮前平中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"198","EPSG:4612","139.601509","35.58805825","高津 23","西梶ヶ谷小学校","川崎市高津区梶ケ谷2-14-1","市立西梶ヶ谷小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"199","EPSG:4612","139.61859291666667","35.567682166666664","高津 24","久末小学校","川崎市高津区久末647","市立久末小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"200","EPSG:4612","139.55101444444443","35.62946497222222","多摩 32","中野島小学校","川崎市多摩区中野島3-12-1","市立中野島小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"201","EPSG:4612","139.5793546388889","35.61235788888889","多摩 33","稲田小学校","川崎市多摩区宿河原3-18-1","市立稲田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"202","EPSG:4612","139.67481725","35.54691586111111","幸 23","東小倉小学校","川崎市幸区東小倉1-1","市立東小倉小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"203","EPSG:4612","139.64508005555555","35.564435277777775","中原 30","井田小学校","川崎市中原区井田中ノ町29-1","市立井田小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"204","EPSG:4612","139.706485","35.502039583333335","川崎 5","白石町","川崎市川崎区白石町1","ＪＲ鶴見線武蔵白石踏切前","× 非開設","-","管路上"
"205","EPSG:4612","139.69257869444445","35.52572463888889","川崎 18","日進町","川崎市川崎区日進町5-1","上並木公園西","× 非開設","-","管路上"
"206","EPSG:4612","139.73076113888888","35.529631305555554","川崎 7","台町","川崎市川崎区台町7-2","大師公園前交差点南側","× 非開設","-","管路上"
"207","EPSG:4612","139.70289147222223","35.52744858333333","川崎 12","共同溝（２）","川崎市川崎区東田町11-27","総合新川橋病院前（国道15号）","× 非開設","-","管路上"
"208","EPSG:4612","139.7017962777778","35.52659416666667","川崎 13","共同溝（３）","川崎市川崎区南町17","南町交番前（国道15号歩道）","× 非開設","-","管路上"
"209","EPSG:4612","139.70648519444444","35.53232588888889","川崎 15","共同溝（４）　","川崎市川崎区堀之内町10-14","スシロー川崎第一京浜店前（国道15号）","× 非開設","-","管路上"
"210","EPSG:4612","139.72556430555557","35.53104375","川崎 43","川中島小学校","川崎市川崎区川中島2-4-19","市立川中島小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"211","EPSG:4612","139.73649516666666","35.52815088888889","川崎 44","南大師中学校","川崎市川崎区四谷上町24-1","市立南大師中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"212","EPSG:4612","139.67891205555554","35.549210277777775","幸 21","下平間小学校","川崎市幸区下平間175","市立下平間小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"213","EPSG:4612","139.58903105555555","35.59251977777778","宮前 22","宮崎台小学校","川崎市宮前区宮崎3-18-2","市立宮崎台小学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"214","EPSG:4612","139.53320894444445","35.60594316666667","多摩 22","南生田","川崎市多摩区南生田3-4-1","市立南生田中学校西側","× 非開設","-","管路上"
"215","EPSG:4612","139.5461953888889","35.62840747222222","多摩 24","中野島中学校","川崎市多摩区中野島1-16-1","市立中野島中学校内","常時使用可（避難所開設中に限る）","-","既設給水栓利用型"
"216","EPSG:4612","139.64832066666668","35.584254083333335","中原 9","等々力緑地","川崎市中原区宮内4-1-2","等々力緑地入口 会館とどろき横（貯留管　容量100立方メートル）","× 非開設","-","貯留管"
"217","EPSG:4612","139.5623084722222","35.619799","多摩 9","多摩区役所","川崎市多摩区登戸1775-1","多摩区役所前","× 非開設","-","管路上"
